,full_name,resale_price,registered_year,engine_capacity,insurance,kms_driven,owner_type,fuel_type,seats,mileage,body_type,city,transmission_type_Automatic,transmission_type_Manual
8016,2018 Hyundai Santro Sportz AMT BSIV,6384,2019,1086,Comprehensive,84759,Second Owner,Petrol,5,203,Hatchback,Hyderabad,1,0
8017,2018 Honda Amaze S CVT i-VTEC,8292,2018,1199,Comprehensive,31289,Second Owner,Petrol,5,181,Sedan,Hyderabad,1,0
8018,2020 Hyundai Santro Sportz AMT,6852,2020,1086,Comprehensive,35505,First Owner,Petrol,5,203,Hatchback,Hyderabad,1,0
8019,2015 Hyundai Grand i10 Asta,5316,2015,1197,Comprehensive,40717,Third Owner,Petrol,5,189,Hatchback,Hyderabad,0,1
8020,2021 Hyundai Alcazar Signature Diesel BSVI,21816,2021,1493,Third Party,30111,First Owner,Diesel,6,204,SUV,Hyderabad,0,1
8021,2019 Hyundai i20 Sportz Plus BSIV,8388,2019,1197,Third Party,40424,First Owner,Petrol,5,186,Hatchback,Hyderabad,0,1
8022,2018 Renault KWID 1.0 RXT Optional,4476,2018,999,Third Party,96475,First Owner,Petrol,5,2301,Hatchback,Hyderabad,0,1
8023,2022 Hyundai Grand i10 Nios Sportz,9000,2022,1197,Third Party,30000,First Owner,Petrol,5,207,Hatchback,Hyderabad,0,1
8024,2017 Tata Hexa XT,12600,2017,2179,Third Party,80000,Third Owner,Diesel,7,176,SUV,Hyderabad,0,1
8025,2016 Maruti Ritz LDi,3240,2016,1248,Third Party,120000,First Owner,Diesel,5,232,Hatchback,Hyderabad,0,1
8026,2020 Nissan Sunny XE D,8400,2020,1461,Third Party,60000,Second Owner,Diesel,5,2271,Sedan,Hyderabad,0,1
8027,2022 Hyundai Grand i10 Nios Magna,8040,2022,1197,Third Party,40000,First Owner,Petrol,5,207,Hatchback,Hyderabad,0,1
8028,2018 Volkswagen Polo 1.5 TDI Highline Plus,6240,2018,1498,Third Party,90000,Second Owner,Diesel,5,2014,Hatchback,Hyderabad,0,1
8029,2020 Skoda Rapid 1.5 TDI Ambition BSIV,12000,2020,1498,Third Party,80000,Second Owner,Diesel,5,2113,Sedan,Hyderabad,0,1
8030,2021 Maruti Alto 800 VXI BSVI,4919,2021,796,Third Party,23748,First Owner,Petrol,5,2205,Hatchback,Hyderabad,0,1
8031,2017 Hyundai Creta 1.6 VTVT AT SX Plus,12132,2017,1591,Comprehensive,63242,Second Owner,Petrol,5,13,SUV,Hyderabad,1,0
8032,2017 Maruti Baleno 1.3 Delta,7764,2018,1248,Comprehensive,57217,First Owner,Diesel,5,2739,Hatchback,Hyderabad,0,1
8033,2014 Hyundai i20 Asta 1.2,6744,2014,1197,Comprehensive,63457,Second Owner,Petrol,5,186,Hatchback,Hyderabad,0,1
8035,2018 Hyundai Grand i10 1.2 Kappa Asta,6588,2018,1197,Third Party,56129,First Owner,Petrol,5,189,Hatchback,Hyderabad,0,1
8036,2020 Tata Tiago XZA Plus Dual Tone,8088,2020,1199,Third Party,68413,Second Owner,Petrol,5,2384,Hatchback,Hyderabad,1,0
8037,2014 Maruti Swift Dzire VDI,5904,2014,1248,Third Party,73626,First Owner,Diesel,5,234,Sedan,Hyderabad,0,1
8038,2018 Maruti Ignis 1.2 Delta BSIV,5424,2018,1197,Third Party,95753,First Owner,Petrol,5,2089,Hatchback,Hyderabad,0,1
8039,2018 Maruti Ignis 1.2 Delta BSIV,5748,2019,1197,Third Party,54907,Second Owner,Petrol,5,2089,Hatchback,Hyderabad,0,1
8040,2009 Maruti Swift Vdi BSIII,3000,2009,1248,Third Party,120000,Second Owner,Diesel,5,178,Hatchback,Hyderabad,0,1
8041,2009 Maruti Swift Vdi BSIII,3000,2009,1248,Third Party,120000,Second Owner,Diesel,5,178,Hatchback,Hyderabad,0,1
8042,2013 Toyota Innova 2.5 VX (Diesel) 7 Seater BS IV,13020,2013,2494,Third Party,120000,First Owner,Diesel,7,1299,MUV,Hyderabad,0,1
8044,2017 Maruti Swift DDiS VDI,7908,2017,1248,Third Party,60000,First Owner,Diesel,5,284,Hatchback,Hyderabad,0,1
8045,2017 Renault KWID 1.0 AMT RXT,4200,2017,999,Third Party,50000,Second Owner,Petrol,5,2404,Hatchback,Hyderabad,1,0
8046,2007 Hyundai Santro Xing GLS,1860,2007,1086,Third Party,100000,Second Owner,Petrol,5,1792,Hatchback,Hyderabad,0,1
8047,2018 Honda Amaze S i-VTEC,7200,2018,1198,Third Party,20000,Second Owner,Petrol,5,178,Sedan,Hyderabad,0,1
8048,2018 Ford Ecosport 1.5 Petrol Titanium BSIV,9384,2018,1497,Third Party,58559,First Owner,Petrol,5,17,SUV,Hyderabad,0,1
8049,2018 Maruti Swift Dzire AMT ZDI Plus,9672,2018,1248,Third Party,88900,First Owner,Diesel,5,284,Sedan,Hyderabad,1,0
8050,2018 Maruti Ignis 1.2 Sigma BSIV,4572,2019,1197,Third Party,103763,First Owner,Petrol,5,2089,Hatchback,Hyderabad,0,1
8051,2016 Hyundai Grand i10 Asta Option AT,6132,2017,1197,Third Party,104436,Second Owner,Petrol,5,189,Hatchback,Hyderabad,1,0
8052,2017 Maruti Wagon R VXI BS IV,4919,2017,998,Comprehensive,83596,First Owner,Petrol,5,2051,Hatchback,Hyderabad,0,1
8053,2020 Tata Tiago XZA,7368,2020,1199,Zero Dep,66731,First Owner,Petrol,5,2384,Hatchback,Hyderabad,1,0
8054,2017 Hyundai i20 Asta 1.2,8015,2017,1197,Comprehensive,26997,First Owner,Petrol,5,186,Hatchback,Hyderabad,0,1
8055,2016 Maruti Baleno 1.2 Alpha,7128,2016,1197,Comprehensive,105224,Second Owner,Petrol,5,214,Hatchback,Hyderabad,0,1
8056,2019 Maruti Baleno 1.2 Zeta,8388,2019,1197,Comprehensive,49124,Second Owner,Petrol,5,214,Hatchback,Hyderabad,0,1
8057,2016 Maruti Wagon R Stingray VXI,4812,2017,998,Third Party,87908,First Owner,Petrol,5,2051,Hatchback,Hyderabad,0,1
8058,2017 Maruti Ignis 1.3 AMT Zeta,6732,2017,1248,Third Party,98700,Second Owner,Diesel,5,268,Hatchback,Hyderabad,1,0
8059,2016 Hyundai EON LPG Era Plus Option,2160,2016,814,Third Party,60000,Second Owner,LPG,5,211,Hatchback,Hyderabad,0,1
